period,period_type,metric,value,value_text,unit,source_id,notes
Q2 2024,Quarterly,Interest Income,,n/a,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Interest Income,51.7,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Interest Income,50.1,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Interest Income,45.6,,USD millions,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Interest Income,50.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Interest Income,48.8,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Interest Income,45.8,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Interest Income,41.2,,USD millions,Q1_2026_10Q,
Q2 2024,Quarterly,Dividend Income,,n/a,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Dividend Income,9.8,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Dividend Income,11.1,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Dividend Income,10.7,,USD millions,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Dividend Income,14.6,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Dividend Income,14.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Dividend Income,11.6,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Dividend Income,11.9,,USD millions,Q1_2026_10Q,
Q2 2024,Quarterly,Fee & Other Income,,n/a,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Fee & Other Income,4.3,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Fee & Other Income,5.4,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Fee & Other Income,3.6,,USD millions,BBDC_QUARTERLY_RELEASES,
