company,ticker,scenario,assessment_type,category,factor,weight,score,weighted_score,rating_or_result,outlook,watch_status,as_of_date,status,rationale,upgrade_trigger,downgrade_trigger,source_name,source_file,source_page_or_section,source_url,calculation_or_assumption,notes
"Coherus Oncology, Inc.",CHRS,All,Methodology,Framework,Independent Orion analytical assessment (disclaimer),,,,"Orion shadow rating - NOT an S&P, Moody's or Fitch rating",,,2026-03-31,Orion Rating Assessment,"This is an INDEPENDENT ORION ANALYTICAL ASSESSMENT for Barings BDC (BBDC) internal credit monitoring of its Coherus 2029 first-lien term-loan exposure. It is NOT a credit rating issued by S&P Global Ratings, Moody's or Fitch, and the letter grades (AAA...D) are Orion's own scale, not any agency's. Scores: 1=Strong, 2=Adequate, 3=Elevated risk, 4=Weak, 5=Very weak/distressed. Four category weights sum to 100% (Business 25% + Financial 30% + Liquidity 30% + Structural & Recovery 15%). Composite = sum of weight x score on a 1.0-5.0 scale; ratings are analytical judgments informed by (not mechanically derived from) the composite. Default probabilities are indicative ranges, not point estimates - no false precision.",,,Orion Analysis,coherus_shadow_rating.csv,Methodology,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Orion rating scale (high to low): AAA, AA, A, BBB, BB, B, CCC, CC, C, D. Company (issuer) rating separated from BBDC's first-lien loan/issue rating.",Weights total: Business 0.25 + Financial 0.30 + Liquidity 0.30 + Structural&Recovery 0.15 = 1.00
"Coherus Oncology, Inc.",CHRS,All,Methodology,Business Risk,Category weight,0.25,,,25% of composite,,,2026-03-31,Orion Assumption,"Business Risk carries 25% of the 100% composite weight. Financial and Liquidity risk dominate (30% each) because this is a cash-burning single-product biotech whose credit hinges on funding, not accounting leverage; Business 25%; Structural & Recovery 15% (most relevant to the loan/recovery rating).",,,Orion Analysis,coherus_shadow_rating.csv,Methodology,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Category weight (unchanged). In the rows below it is carried half on the category's factor rows and half on that category's weighted-subtotal row, so summing the weight column by category foots to this figure and to 100% overall (no double-count).",
"Coherus Oncology, Inc.",CHRS,All,Methodology,Financial Risk,Category weight,0.30,,,30% of composite,,,2026-03-31,Orion Assumption,"Financial Risk carries 30% of the 100% composite weight. Financial and Liquidity risk dominate (30% each) because this is a cash-burning single-product biotech whose credit hinges on funding, not accounting leverage; Business 25%; Structural & Recovery 15% (most relevant to the loan/recovery rating).",,,Orion Analysis,coherus_shadow_rating.csv,Methodology,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Category weight (unchanged). In the rows below it is carried half on the category's factor rows and half on that category's weighted-subtotal row, so summing the weight column by category foots to this figure and to 100% overall (no double-count).",
"Coherus Oncology, Inc.",CHRS,All,Methodology,Liquidity Risk,Category weight,0.30,,,30% of composite,,,2026-03-31,Orion Assumption,"Liquidity Risk carries 30% of the 100% composite weight. Financial and Liquidity risk dominate (30% each) because this is a cash-burning single-product biotech whose credit hinges on funding, not accounting leverage; Business 25%; Structural & Recovery 15% (most relevant to the loan/recovery rating).",,,Orion Analysis,coherus_shadow_rating.csv,Methodology,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Category weight (unchanged). In the rows below it is carried half on the category's factor rows and half on that category's weighted-subtotal row, so summing the weight column by category foots to this figure and to 100% overall (no double-count).",
"Coherus Oncology, Inc.",CHRS,All,Methodology,Structural & Recovery Risk,Category weight,0.15,,,15% of composite,,,2026-03-31,Orion Assumption,"Structural & Recovery Risk carries 15% of the 100% composite weight. Financial and Liquidity risk dominate (30% each) because this is a cash-burning single-product biotech whose credit hinges on funding, not accounting leverage; Business 25%; Structural & Recovery 15% (most relevant to the loan/recovery rating).",,,Orion Analysis,coherus_shadow_rating.csv,Methodology,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Category weight (unchanged). In the rows below it is carried half on the category's factor rows and half on that category's weighted-subtotal row, so summing the weight column by category foots to this figure and to 100% overall (no double-count).",
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Business Risk,Market size and growth,0.015,3,0.0450,3 (Elevated risk),,,2026-03-31,Orion Rating Assessment,"Small, defined U.S. TAM: ~2,000 eligible RM-NPC patients / ~$250M company-estimated opportunity; LOQTORZI FY2025 net sales $40.8M imply multi-year runway but a modest ceiling. NPC incidence is slowly declining. Sufficient to service a small debt load, not to be a large-scale credit.",,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Business Risk - Market size and growth,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.015 x score 3 = 0.0450. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Business Risk,Product differentiation,0.020,2,0.0400,2 (Adequate),,,2026-03-31,Orion Rating Assessment,"Only commercially available FDA-approved immunotherapy for NPC; all-lines label; NCCN category-1 preferred (1L) and only preferred subsequent-line option; durable JUPITER-02 OS benefit (64.8 vs 33.7 mo, HR 0.62). Genuine, defensible differentiation.",,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Business Risk - Product differentiation,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.020 x score 2 = 0.0400. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Business Risk,Single-product concentration,0.025,4,0.1000,4 (Weak),,,2026-03-31,Orion Rating Assessment,"100% of product revenue is one drug (LOQTORZI), one indication (NPC), one geography (U.S.), ~99% via three wholesalers. Pipeline (casdozokitug, tagmokitug) only Phase 1b/2. Dominant structural weakness.",,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Business Risk - Single-product concentration,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.025 x score 4 = 0.1000. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Business Risk,Competitive position,0.020,3,0.0600,3 (Elevated risk),,,2026-03-31,Orion Rating Assessment,Sole commercially available NPC immunotherapy today; penpulimab (Akeso) FDA-approved Apr 2025 but not yet U.S.-launched; pembrolizumab used off-label. Position strong now but latent threat elevated.,,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Business Risk - Competitive position,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.020 x score 3 = 0.0600. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Business Risk,Regulatory risk,0.010,3,0.0300,3 (Elevated risk),,,2026-03-31,Orion Rating Assessment,"IRA Medicare negotiation/inflation rebates, OBBBA Medicaid cuts and MFN proposals flagged as able to hurt LOQTORZI sales; single-source China supply adds tariff/disruption risk (onshoring underway, U.S. drug substance approved Q1 2026).",,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Business Risk - Regulatory risk,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.010 x score 3 = 0.0300. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
