Date,Company,Ticker,News Level,Category,Headline,Summary,Why This Matters,Signal,BBDC Exposure,Potential Impact,Source,Source URL,Related Credit,Status
2026-05-07,"Barings BDC, Inc.",BBDC,BBDC,Earnings,Barings BDC reports Q1 2026 results; declares $0.26 quarterly dividend,"Q1 NII of $0.25/share (GAAP EPS $0.19 missed the $0.25 consensus) and NAV of $11.02 vs $11.09 at 12/31/25. Board declared a $0.26 quarterly cash dividend. Management cited a predominantly senior-secured portfolio, sound credit quality and ample liquidity.","Sets the baseline for NAV, earnings power and dividend coverage; the EPS miss and slight NAV decline reflect the sector-wide spread widening seen across BDC peers this quarter.",Neutral,Direct (issuer),Income,Barings BDC / Business Wire,https://www.stocktitan.net/news/BBDC/barings-bdc-inc-reports-first-quarter-2026-results-and-announces-nwa08vhf7lm4.html,,Resolved
2026-05-29,"Barings BDC, Inc.",BBDC,BBDC,Credit,Barings BDC terminates Sierra credit support agreement; adviser to pay $67.0M,"Barings LLC (adviser) agreed to pay $67,027,611 in cash by 6/30/26 to fully satisfy the original 2022 Sierra CSA covering realized, de-minimis and unrealized-loss positions. A new, narrower CSA was put in place covering two remaining Sierra legacy names with fair value of ~$11.0M as of 5/29/26 (capped at that value, running to 4/1/2032). Any New CSA payment is excluded from incentive-fee calculations.","Delivers a sizeable one-time cash inflow from the adviser and crystallizes losses on covered legacy Sierra credits, while preserving downside protection on the two names that remain. Reshapes BBDC's risk profile and removes an overhang tied to the Sierra merger.",Positive,Direct (issuer),NAV,Barings BDC / Business Wire,https://ir.barings.com/news-events/press-releases/detail/474/barings-bdc-inc-announces-early-termination-of-sierra-credit-support-agreement-and-67-0-million-payment-from-barings-llc,Sierra legacy portfolio,Resolved
2026-06-05,"Barings BDC, Inc.",BBDC,BBDC,Management,"CEO Thomas McDonnell buys 10,000 BBDC shares (~$82,700)","CEO Thomas McDonnell purchased 10,000 shares of BBDC common stock for a total of approximately $82,700, an open-market insider buy.","Insider buying at a discount to NAV is often read as a management signal of confidence in the company's outlook and valuation, particularly following the Q1 EPS miss.",Positive,Direct (issuer),None,TipRanks (insider filing),https://www.tipranks.com/news/insider-trading/barings-bdc-ceo-makes-bold-insider-move-with-new-stock-purchase-insider-trading-news,,Monitoring
2026-06-12,"Barings BDC, Inc.",BBDC,BBDC,Rating,Rothschild & Co Redburn reaffirms Hold on BBDC,"Rothschild & Co Redburn reiterated a Hold rating on Barings BDC. Earlier, on 5/22/26, BofA Securities reaffirmed a Buy rating.","Mixed sell-side positioning (Hold vs Buy) reflects a wait-and-see stance into Q2 results, balancing the discount to NAV against the Q1 earnings miss.",Neutral,Direct (issuer),None,TipRanks / CNN Markets,https://www.cnn.com/markets/stocks/BBDC,,Monitoring
2026-07-13,"Barings BDC, Inc.",BBDC,BBDC,SEC Filing,"Barings BDC schedules Q2 2026 results for August 5, 2026","BBDC will report Q2 2026 results (quarter ended 6/30/26) after market close on 8/5/26, with a conference call 8/6/26 at 8:30 a.m. ET. Consensus EPS estimate is ~$0.25 on ~$61.3M revenue.",Next scheduled catalyst; Q2 will show the first NAV mark after the $67M Sierra CSA settlement and whether spread-widening pressure on NAV persisted into the June quarter.,Neutral,Direct (issuer),None,Barings BDC / Business Wire,https://www.stocktitan.net/news/BBDC/barings-bdc-inc-announces-conference-call-to-discuss-second-quarter-mzvuz8sd0a0r.html,,Monitoring
2026-03-09,"Coherus Oncology (Coherus BioSciences, Inc.)",CHRS,Portfolio Company,Earnings,Coherus reports FY2025 / Q4 2025 results and business update,"Coherus (now branded Coherus Oncology) reported full-year and Q4 2025 results, highlighting LOQTORZI (toripalimab) growth and an immuno-oncology pipeline. The company has de-risked its balance sheet through prior UDENYCA divestiture and convertible-note repurchases, though it continues to post operating losses and cash burn.",Coherus is one of BBDC's larger single-name healthcare credits; its transition to a pure-play oncology company with continuing losses keeps the credit dependent on pipeline execution and cash runway.,Neutral,"1st-lien term loan (SOFR+8.00%, ~11.7% cash), cost ~$3.9M / FV ~$4.0M, plus royalty rights FV ~$1.5M (~$5.4M total FV, 3/31/26)",Credit Quality,Coherus Oncology (GlobeNewswire),https://www.coherus.com/,"Coherus Biosciences, Inc.",Monitoring
2026-05-11,"Coherus Oncology (Coherus BioSciences, Inc.)",CHRS,Portfolio Company,Earnings,"Coherus Q1 2026: EPS in line, revenue misses ~15%","Q1 2026 EPS of -$0.25 met expectations, but revenue of $12.31M missed the ~$14.43M forecast (-14.7%). LOQTORZI net revenue grew 61% YoY but declined ~4.8% sequentially, which management attributed partly to winter-storm disruption; operating expenses were reduced. Management guided to a return to revenue growth in Q2 2026 and flagged multiple pipeline readouts in 2026-2027.","Continued losses and a top-line miss keep the credit reliant on the LOQTORZI ramp and pipeline catalysts; cost discipline and de-risked balance sheet are partial offsets to a leveraged, cash-burning borrower.",Negative,1st-lien term loan cost ~$3.9M / FV ~$4.0M + royalty rights FV ~$1.5M (3/31/26),Credit Quality,Investing.com (earnings call),https://www.investing.com/news/transcripts/earnings-call-transcript-coherus-biosciences-q1-2026-revenue-miss-prompts-cautious-outlook-93CH-4694943,"Coherus Biosciences, Inc.",Monitoring
2026-06-23,"Coherus Oncology (Coherus BioSciences, Inc.)",CHRS,Portfolio Company,Operations,Coherus and Zumutor to study ZM008 in combination with LOQTORZI,"Coherus and Zumutor Biologics announced a clinical collaboration to evaluate Zumutor's ZM008 (anti-LLT1) in combination with LOQTORZI. Analysts remained broadly constructive on CHRS (e.g., Oppenheimer Buy), while the equity story stays tied to oncology pipeline readouts.","Pipeline expansion supports the long-term equity/enterprise-value narrative that underpins recovery on BBDC's loan and royalty positions, though it does not change near-term cash burn.",Positive,"1st-lien term loan + royalty rights (~$5.4M total FV, 3/31/26)",Credit Quality,Coherus Oncology (TipRanks summary),https://www.cnn.com/markets/stocks/CHRS,"Coherus Biosciences, Inc.",Monitoring
2026-05-05,"Ocular Therapeutix, Inc.",OCUL,Portfolio Company,Earnings,Ocular reports Q1 2026 results; touts positive SOL-1 Phase 3 AXPAXLI data,"Ocular reported Q1 2026 results and reiterated positive SOL-1 Phase 3 data for AXPAXLI (OTX-TKI) in wet AMD, which met its primary endpoint (superiority vs aflibercept, p=0.0006). The commercial product DEXTENZA continues to generate revenue.","AXPAXLI's pivotal success materially improves Ocular's enterprise value and financing options, supporting recovery prospects on BBDC's loan, which is currently marked above cost.",Positive,"1st-lien term loan (SOFR+6.75%, ~10.4% cash), cost ~$3.9M / FV ~$4.8M (3/31/26; marked ~124% of cost)",Credit Quality,Ocular Therapeutix (GlobeNewswire),https://www.globenewswire.com/news-release/2026/05/05/3287510/0/en/ocular-therapeutix-reports-first-quarter-2026-financial-results-and-business-highlights.html,"Ocular Therapeutix, Inc.",Monitoring
2026-06-17,"Ocular Therapeutix, Inc.",OCUL,Portfolio Company,Operations,Ocular gains FDA alignment on AXPAXLI wet-AMD NDA; Q4 2026 submission planned,"At its Investor Day, Ocular said the FDA aligned on an AXPAXLI NDA for wet AMD to be submitted in Q4 2026, based on SOL-1 Week-52 efficacy/safety plus interim SOL-R safety (505(b)(2) pathway); potential 2027 launch. The diabetic-retinopathy program was streamlined around a single Phase 3 (HELIOS-3) evaluating once-yearly dosing.","A clear, FDA-aligned path to commercialization de-risks the credit and strengthens the borrower's access to capital, reinforcing the above-cost mark on BBDC's position.",Positive,1st-lien term loan cost ~$3.9M / FV ~$4.8M (3/31/26),Credit Quality,Ocular Therapeutix (GlobeNewswire),https://www.globenewswire.com/news-release/2026/06/17/3313442/0/en/ocular-therapeutix-investor-day-to-highlight-u-s-fda-alignment-on-axpaxli-nda-with-submission-planned-for-fourth-quarter-2026.html,"Ocular Therapeutix, Inc.",Monitoring
