company,ticker,category,subcategory,metric,entity,as_of_date,value,unit,status,importance,credit_impact,source_name,source_file,source_page_or_section,source_url,notes
"Coherus Oncology, Inc.",CHRS,Market,Epidemiology,NPC annual incidence rate (U.S.),Nasopharyngeal carcinoma (NPC),2025-12-31,Fewer than 1 per 100000,cases per 100000 population per year,Reported,High,Neutral,Coherus FY2025 10-K; American Cancer Society,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1. Business - LOQTORZI Opportunity (p.7); ACS Key Statistics,https://www.cancer.org/cancer/types/nasopharyngeal-cancer/key-statistics.html,"Company states 'NPC is rare in the United States, with an annual incidence of fewer than one per 100,000 people.' ACS corroborates '<1 case per 100,000 people each year.' Rare disease defines a small but underpenetrated U.S. market."
"Coherus Oncology, Inc.",CHRS,Market,Epidemiology,U.S. annual diagnosed NPC patients (derived),Nasopharyngeal carcinoma (NPC),2025-12-31,Approximately 2000,patients per year,Calculated,Medium,Neutral,Derived from incidence rate x U.S. population,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1. Business - LOQTORZI Opportunity (p.7),https://www.cancer.org/cancer/types/nasopharyngeal-cancer/key-statistics.html,"Calculated: <1/100,000 x ~335M U.S. population implies up to ~3,300/yr; oncology literature commonly cites ~2,000 new U.S. NPC cases annually. Not a company-reported figure. Coherus separately estimates up to 2,000 RM-NPC patients eligible for LOQTORZI (see next row)."
"Coherus Oncology, Inc.",CHRS,Market,Addressable Market,Recurrent/metastatic (RM-NPC) patients eligible for LOQTORZI,Nasopharyngeal carcinoma (NPC),2025-12-31,Up to 2000,eligible patients,Reported,High,Neutral,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1. Business - LOQTORZI Opportunity (p.7),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Company: 'We estimate that there are up to 2,000 RM-NPC patients who are eligible for LOQTORZI, which translates into a $250 million market opportunity.' Small addressable base; sole-approved status is the offsetting positive."
"Coherus Oncology, Inc.",CHRS,Market,Addressable Market,Estimated total NPC market opportunity (LOQTORZI-addressable),Nasopharyngeal carcinoma (NPC),2025-12-31,250,USD millions,Reported,High,Neutral,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1. Business - LOQTORZI Opportunity (p.7),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Company-estimated peak/steady-state U.S. opportunity of ~$250M. Caps realistic peak revenue; FY2025 LOQTORZI revenue of $40.8M implies material runway remains but a modest revenue ceiling relative to typical oncology franchises."
"Coherus Oncology, Inc.",CHRS,Market,Addressable Market,First-line eligible population split (1L vs 2L+),Nasopharyngeal carcinoma (NPC),2025-12-31,Not separately quantified in sources,text,Orion Analysis,Medium,Neutral,Orion Analysis,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1. Business - LOQTORZI Opportunity,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Orion Analysis: sources do not split the ~2,000 RM-NPC pool into 1L vs subsequent-line counts. 1L (LOQTORZI + cisplatin/gemcitabine) is the larger, NCCN category-1 preferred segment; no invented numeric estimate provided per source-only rule."
"Coherus Oncology, Inc.",CHRS,Market,Geographic Concentration,Geographic/ethnic concentration of NPC,Nasopharyngeal carcinoma (NPC),2025-12-31,Endemic in southern China/SE Asia; rare in U.S.,text,Reported,Medium,Neutral,American Cancer Society,n/a,ACS Key Statistics; How Common Is NPC,https://www.cancer.org/cancer/types/nasopharyngeal-cancer/key-statistics.html,"ACS: high-incidence regions (parts of China) reach 25-30/100,000 (men); in the U.S. NPC concentrates among patients of Asian, Middle Eastern/North African and Arctic-indigenous descent. Concentrated referral to academic H&N centers aids commercial targeting but limits U.S. TAM."
"Coherus Oncology, Inc.",CHRS,Market,Growth,Historical NPC incidence trend,Nasopharyngeal carcinoma (NPC),2025-12-31,Declining steadily over past decades,text,Reported,Low,Negative,American Cancer Society,n/a,ACS Key Statistics,https://www.cancer.org/cancer/types/nasopharyngeal-cancer/key-statistics.html,"ACS: 'cases of NPC have been declining steadily over the past decades, including in high-risk areas.' Secular volume decline is a mild long-term headwind, partly offset by rising immunotherapy penetration."
"Coherus Oncology, Inc.",CHRS,Market,Growth,Expected LOQTORZI/company revenue growth,LOQTORZI (toripalimab-tpzi),2026-03-09,2026 net revenue expected higher than 2025,text,Reported,Medium,Positive,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,MD&A - Results of Operations (p.67),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Company expects 'net revenue from continuing operations in 2026 to be higher than in 2025 because of continued growth of LOQTORZI.' Growth driven by penetration, not epidemiology."
"Coherus Oncology, Inc.",CHRS,Market,Unmet Need,NPC prognosis on chemotherapy alone,Nasopharyngeal carcinoma (NPC),2025-12-31,20% 1-yr PFS; ~50% distant mets; 29 mo median OS,text,Reported,High,Positive,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1. Business - LOQTORZI Opportunity (p.7),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Chemo-alone: only ~20% achieve 1-year PFS, up to ~50% develop distant metastasis, median OS ~29 months. Poor baseline outcomes underpin high unmet need and support immunotherapy adoption."
"Coherus Oncology, Inc.",CHRS,Market,Unmet Need,5-year survival (all NPC / advanced NPC),Nasopharyngeal carcinoma (NPC),2025-12-31,~60% all; ~49% advanced,percent,Reported,Medium,Neutral,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1. Business - LOQTORZI Opportunity (p.7),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Five-year survival ~60% across all NPC and ~49% for advanced disease per company disclosure."
