published_date,event_date,company,ticker,headline,source_name,category,affected_entity_or_product,summary,affected_metric_or_risk,credit_impact,importance,time_horizon,orion_interpretation,monitoring_action,status,source_file,source_url,notes
2024-01-02,2024-01-02,"Coherus Oncology, Inc.",CHRS,LOQTORZI (toripalimab-tpzi) launched commercially in the U.S. for nasopharyngeal carcinoma,Coherus FY2025 10-K,Commercial,LOQTORZI (toripalimab-tpzi),"Coherus began U.S. commercial sales of LOQTORZI on January 2, 2024. It is the first and only FDA-approved immunotherapy for NPC (approved 2023-10-27) and the company's sole commercial product following the biosimilar divestitures.",Revenue; product adoption,Positive,High,Long Term,"Establishes the single revenue engine that must ultimately service the 2029 term loan. Positive that a differentiated, guideline-anchored oncology asset is now generating cash, but 100% single-product/single-indication concentration is the structural weakness.",Track quarterly LOQTORZI net sales and adoption trajectory toward the ~$250M addressable ceiling,Monitoring,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231x10k.htm,Launch date confirmed in FY2025 10-K Item 1 (Overview).
2024-01-10,2024-01-10,"Coherus Oncology, Inc.",CHRS,Coherus issues preliminary 2023 results and 2024 strategic priorities ahead of J.P. Morgan conference,Coherus press release (8-K EX-99.1),Earnings,Coherus BioSciences,Coherus released preliminary full-year 2023 financial information and outlined 2024 priorities centered on the LOQTORZI launch and continued portfolio streamlining ahead of the J.P. Morgan Healthcare Conference.,Revenue; strategy,Neutral,Low,Near Term,Signals the strategic pivot toward a pure oncology model that culminated in the biosimilar divestitures; limited standalone credit impact.,Compare preliminary figures against audited FY2023 results,Archived,02_Earnings/releases/2024-01-10_CHRS_ER_Jan-Prelim-Guidance-2024.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837024000166/chrs-20240110xex99d1.htm,Preliminary/unaudited figures.
2024-01-18,2024-01-18,"Coherus Oncology, Inc.",CHRS,Casdozokitug (anti-IL-27) Phase 2 HCC data presented at ASCO GI 2024,Coherus FY2025 10-K,Clinical,Casdozokitug (CHS-388) pipeline,Phase 2 data for casdozokitug plus atezolizumab and bevacizumab in first-line hepatocellular carcinoma showed an ORR of 38% with 3 complete responses (n=30 cohort).,Pipeline optionality / enterprise value,Neutral,Low,Long Term,Early-stage pipeline signal in HCC. No near-term revenue or cash effect; provides potential longer-dated enterprise-value optionality that is not part of the debt-repayment thesis.,Track casdozokitug next Phase 2 readout (toripalimab combination),Monitoring,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231x10k.htm,Pipeline program originating from the 2023 Surface Oncology acquisition.
2024-01-22,2024-01-22,"Coherus BioSciences, Inc.",CHRS,Coherus agrees to sell CIMERLI ophthalmology franchise to Sandoz for $170M upfront,BioPharma Dive; Coherus IR,Liquidity,CIMERLI (ranibizumab-eqrn) franchise,Coherus agreed to divest its CIMERLI (Lucentis biosimilar) ophthalmology franchise to Sandoz for $170 million upfront in cash plus inventory-related adjustments; ~35 staff transferred. Completed in March 2024.,Liquidity runway; leverage; revenue base,Positive,High,Near Term,"Cash proceeds fund debt paydown and extend runway (credit-positive deleveraging), but permanently removes a revenue stream, concentrating the credit further onto LOQTORZI. Net positive given the deleveraging priority.",Confirm proceeds applied to debt reduction and cash balance in Q1 2024,Resolved,,https://www.biopharmadive.com/news/coherus-sandoz-cimerli-biosimilar-sale-divest/705140/,Completion PR 2024-03-04. Proceeds drove cash to $259.8M at 3/31/2024.
2024-03-13,2024-03-13,"Coherus BioSciences, Inc.",CHRS,Coherus reports FY2023 results and announces ~30% workforce reduction,Coherus press release (8-K EX-99.1),Earnings,Coherus BioSciences,"Coherus reported full-year 2023 results and announced a ~30% workforce reduction (~90 of ~300 employees) targeting more than $25M in annual savings, tied to the oncology refocus and CIMERLI transfer.",Operating expense; cash burn,Positive,Medium,Near Term,"Cost actions reduce cash burn and support runway (credit-positive), but repeated restructurings also signal ongoing operating-loss pressure. Net modestly positive for near-term liquidity.",Track opex reduction flow-through and cash burn in subsequent quarters,Archived,02_Earnings/releases/2024-03-13_CHRS_ER_FY-Results-2024.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837024003110/chrs-20240313xex99d1.htm,Follows a ~60-employee cut in March 2023. File named 'FY-Results-2024' but reports FY2023.
2024-05-13,2024-05-08,"Coherus BioSciences, Inc.",CHRS,"Coherus closes $76.2M Barings financing: $38.7M term loan (SOFR+8%, due 2029) plus $37.5M royalty; repays Pharmakon",Coherus 8-K / loan agreement; Latham & Watkins,Financing,2029 Term Loan (Barings) + Revenue Participation Right,"Coherus entered a Barings financing totaling $76.2M: a $38.7M senior secured term loan at three-month SOFR+8.00% maturing 2029-05-08 (administrative agent Ankura Trust), plus a $37.5M Revenue Participation Right sold to Coduet Royalty Holdings (mid-single-digit % of U.S. LOQTORZI/UDENYCA net sales, capped at 2.25x). Proceeds repaid the remaining $75M Pharmakon (BioPharma Credit) term loan.",Debt maturity profile; refinancing risk; interest cost,Neutral,Critical,Long Term,"This is the instrument underlying BBDC's Coherus exposure. Refinancing extended the maturity wall to 2029 and shed the larger Pharmakon loan (credit-neutral-to-positive), but the SOFR+8% coupon is expensive and the royalty sale monetized future product cash flows. Repayment depends on LOQTORZI scaling or continued capital access.","Monitor term-loan balance, covenant compliance and any amendments; watch 2029 maturity",Monitoring,03_Credit_Docs/2024-05-21_CHRS_EX10-28_Loan-Agreement-2024-05-08.pdf,https://www.lw.com/en/news/2024/05/latham-watkins-advises-coherus-in-term-loan-and-royalty-financing-agreement-with-barings,Loan agreement dated 2024-05-08; announced closing 2024-05-13. Prior $175M Pharmakon prepayment made April 2024.
2024-05-21,2024-05-08,"Coherus Oncology, Inc.",CHRS,2029 term loan carries a minimum-liquidity covenant (Section 6.16),Coherus loan agreement (EX-10.28),Covenant,2029 Term Loan (Barings),The Barings term loan includes a Minimum Liquidity covenant (Section 6.16) requiring a minimum level of cash and cash equivalents. The specific dollar threshold is contained in the loan agreement definitions and is not separately disclosed in narrative/XBRL. Filings report zero events of default at 12/31/2024 and 6/30/2025.,Covenant headroom; default risk,Neutral,Medium,Long Term,"A minimum-liquidity covenant is the primary covenant constraint. With ~$167-237M liquidity through Q1 2026 the company retains meaningful headroom, but the undisclosed threshold makes headroom hard to quantify precisely as cash declines.",Review covenant compliance certificate and the Section 6.16 minimum-liquidity threshold,Monitoring,03_Credit_Docs/2024-05-21_CHRS_EX10-28_Loan-Agreement-2024-05-08.pdf,https://www.sec.gov/Archives/edgar/data/0001512762/000155837024008542/chrs-20240508xex10d1.htm,Threshold not publicly disclosed; retrievable only from Section 6.16 of the loan-agreement exhibit.
2024-05-09,2024-03-31,"Coherus Oncology, Inc.",CHRS,"Coherus reports Q1 2024 results; LOQTORZI net sales $2.0M, cash $259.8M",Coherus press release (8-K EX-99.1),Earnings,LOQTORZI (toripalimab-tpzi),"Q1 2024 LOQTORZI net product revenue was $2.0M (first full quarter post-launch). Cash and investments were $259.8M at 3/31/2024, boosted by CIMERLI proceeds. Formulary access reported at ~55% of the 33 NCCN institutions.",Revenue; liquidity,Neutral,Medium,Near Term,First launch quarter confirms slow initial ramp typical of a small orphan indication. Strong cash position provides runway. Neutral pending demonstration of a durable sales curve.,Track sequential LOQTORZI net sales and NCCN institution uptake,Archived,02_Earnings/releases/2024-05-09_CHRS_ER_Q1-2024.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837024007622/chrs-20240509xex99d1.htm,
2024-06-27,2024-06-27,"Coherus BioSciences, Inc.",CHRS,Coherus divests YUSIMRY (adalimumab) for $40M upfront,Coherus IR (GlobeNewswire),Liquidity,YUSIMRY (adalimumab-aqvh),Coherus sold its YUSIMRY (Humira biosimilar) product to Hong Kong King-Friend Industrial Co. for $40M upfront in cash; U.S. commercialization taken over by Meitheal Pharmaceuticals. Exit from the crowded adalimumab-biosimilar market.,Liquidity runway; revenue base,Positive,Medium,Near Term,"Adds cash and eliminates a low-margin, competitive product line, sharpening the oncology focus (credit-positive on liquidity). Further concentrates revenue on LOQTORZI.",Confirm proceeds in Q2 2024 cash balance,Resolved,,https://www.globenewswire.com/en/news-release/2024/06/27/2905181/33333/en/Coherus-BioSciences-Announces-Divestiture-of-YUSIMRY-adalimumab-aqvh-in-a-40-Million-Upfront-All-Cash-Transaction.html,Closed late June 2024.
2024-06-27,2024-06-27,"Coherus BioSciences, Inc.",CHRS,Coherus sublicenses Canadian LOQTORZI rights to Apotex,Coherus FY2025 10-K,Partnership,LOQTORZI (toripalimab-tpzi),"Coherus sublicensed its Canadian rights to toripalimab to Apotex, narrowing Coherus's own royalty-bearing/commercial territory for LOQTORZI to the United States.",Revenue geography,Neutral,Low,Long Term,Monetizes a non-core geography Coherus was unlikely to commercialize itself; negligible near-term credit effect but reinforces U.S.-only revenue concentration.,None material; note U.S.-only commercial footprint,Archived,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231x10k.htm,Referenced in FY2025 10-K collaboration disclosures.
